MXNET


TENSORFLOW
epoch 194, loss 0.3384, train acc 0.967, test acc 0.850
epoch 195, loss 0.3384, train acc 0.967, test acc 0.850
epoch 196, loss 0.3384, train acc 0.967, test acc 0.850
epoch 197, loss 0.3384, train acc 0.967, test acc 0.850
epoch 198, loss 0.3384, train acc 0.967, test acc 0.850
epoch 199, loss 0.3384, train acc 0.967, test acc 0.850
epoch 200, loss 0.3384, train acc 0.967, test acc 0.850
epoch 201, loss 0.3384, train acc 0.967, test acc 0.850
epoch 202, loss 0.3384, train acc 0.967, test acc 0.850
epoch 203, loss 0.3383, train acc 0.967, test acc 0.850
epoch 204, loss 0.3383, train acc 0.967, test acc 0.850
epoch 205, loss 0.3383, train acc 0.967, test acc 0.850
epoch 206, loss 0.3383, train acc 0.967, test acc 0.850
epoch 207, loss 0.3383, train acc 0.967, test acc 0.850
epoch 208, loss 0.3383, train acc 0.967, test acc 0.850
epoch 209, loss 0.3383, train acc 0.967, test acc 0.850
epoch 210, loss 0.3383, train acc 0.967, test acc 0.850
epoch 211, loss 0.3383, train acc 0.967, test acc 0.850
epoch 212, loss 0.3383, train acc 0.967, test acc 0.850
epoch 213, loss 0.3383, train acc 0.967, test acc 0.850
epoch 214, loss 0.3383, train acc 0.967, test acc 0.850
epoch 215, loss 0.3383, train acc 0.967, test acc 0.850
epoch 216, loss 0.3383, train acc 0.967, test acc 0.850
epoch 217, loss 0.3383, train acc 0.967, test acc 0.850
epoch 218, loss 0.3383, train acc 0.967, test acc 0.850
epoch 219, loss 0.3383, train acc 0.967, test acc 0.850
epoch 220, loss 0.3382, train acc 0.967, test acc 0.850
epoch 221, loss 0.3382, train acc 0.967, test acc 0.850
epoch 222, loss 0.3382, train acc 0.967, test acc 0.850
epoch 223, loss 0.3382, train acc 0.967, test acc 0.850
epoch 224, loss 0.3381, train acc 0.967, test acc 0.850
epoch 225, loss 0.3381, train acc 0.967, test acc 0.850
epoch 226, loss 0.3380, train acc 0.967, test acc 0.850
epoch 227, loss 0.3379, train acc 0.967, test acc 0.850
epoch 228, loss 0.3378, train acc 0.967, test acc 0.850
epoch 229, loss 0.3376, train acc 0.967, test acc 0.850
epoch 230, loss 0.3374, train acc 0.967, test acc 0.850
epoch 231, loss 0.3371, train acc 0.967, test acc 0.850
epoch 232, loss 0.3367, train acc 0.967, test acc 0.850
epoch 233, loss 0.3363, train acc 0.967, test acc 0.850
epoch 234, loss 0.3357, train acc 0.967, test acc 0.850
epoch 235, loss 0.3351, train acc 0.983, test acc 0.850
epoch 236, loss 0.3345, train acc 0.983, test acc 0.850
