p,train_loss,train_acc,test_acc,frac
0.001,1.7408063521682728,0.6565905462928232,0.10517883550066306,0.48484848484848486
0.001,1.801869072151503,0.5889627151256499,0.17422604208602593,0.5786802030456852
0.001,1.7858588050165465,0.6143250895981822,0.1082638072094669,0.45463709677419356
0.001,1.8239692630801763,0.5664252002105572,0.09542680079535763,0.5005096839959225
0.001,1.8814302902825595,0.5011855075180807,0.1065616750967984,0.6183127572016461
0.001,1.7960234733856328,0.599891781039649,0.09551411075947264,0.5035750766087844
0.001,1.7968270111927709,0.6007874115104328,0.09056033724672025,0.4548223350253807
0.001,1.8165767984755277,0.5771480284072721,0.10167222658427373,0.5202020202020202
0.001,1.7639694570574398,0.6375110091190425,0.09000758483389794,0.4484848484848485
0.001,1.791561787925918,0.607698267811353,0.10494831857082029,0.5278058645096056
0.001,1.8132846908252183,0.5820442224294758,0.07479325978916053,0.44984802431610943
0.001,1.7620920156323003,0.6313042911267284,0.079862984695492,0.45223577235772355
0.001,1.8397740020193958,0.5501289810182483,0.16988278345460917,0.6112789526686808
0.001,1.764156561897695,0.6394367272308239,0.09471818047981168,0.45030425963488846
0.001,1.7778580032799418,0.6145296607535612,0.11488019937409216,0.47346938775510206
0.001,1.804168548698908,0.58959354450061,0.11532674983844268,0.5172064777327935
0.001,1.7701434433610828,0.6210644397916623,0.1629516543522799,0.535140562248996
0.001,1.7653433644133094,0.6385565489990888,0.1568879031198334,0.4798387096774194
0.001,1.7830220924550844,0.6156654077637983,0.09719946285202735,0.49795501022494887
0.001,1.7689857592752571,0.6302260130869997,0.09434538264940304,0.47112462006079026
0.001,1.8158151723837332,0.5804156561944728,0.06976290079911546,0.4826530612244898
0.001,1.7758206514126962,0.6264304226570322,0.12347010495010734,0.4614604462474645
0.001,1.7693724734164658,0.632743397717513,0.07746063506698612,0.44387229660144184
0.001,1.7938441257057272,0.5961091684714981,0.11300476314855792,0.46421267893660534
0.001,1.735642352683655,0.6738929928988512,0.09537433667623801,0.402834008097166
0.001,1.7317474728905289,0.6802377593532997,0.1552340772300973,0.49341438703140833
0.001,1.8120125725085163,0.5830105592103842,0.1345975555246957,0.5279187817258884
0.001,1.8035687862660978,0.5915814558319713,0.11980121110133667,0.5344129554655871
0.001,1.8122862576635144,0.582450626585553,0.14349069195101938,0.5577889447236181
0.001,1.778914928466508,0.6232800644796872,0.10424579973368964,0.49595959595959593
0.001,1.8056117477255156,0.5897128881961897,0.09152774408129337,0.487360970677452
0.001,1.7577911161007413,0.647800614658147,0.14871263866277584,0.5102040816326531
0.001,1.754891522501167,0.6492225686727675,0.11431335677791919,0.45820745216515607
0.001,1.7695007091981552,0.6289136748085074,0.0934076997768922,0.44646464646464645
0.001,1.8007760364284966,0.5938987127475274,0.11946415279122863,0.5204498977505112
0.001,1.7824490273331925,0.6180162589489594,0.13142939560939998,0.515832482124617
0.001,1.8236286452200734,0.5651985924663989,0.07459435218914037,0.5496957403651116
0.001,1.7579488765572016,0.6474935546506302,0.14966594265088237,0.45723014256619143
0.001,1.8319278424451457,0.5548576916426228,0.0449236102901903,0.433502538071066
0.001,1.785130522445203,0.6130788784403081,0.12695298213665399,0.4376278118609407
0.001,1.8011907028248857,0.5961274923160038,0.10427096180774069,0.4483805668016194
0.001,1.7931315970055912,0.6058139390958542,0.12437465310667589,0.5020449897750511
0.001,1.8609757057347387,0.5220209997549049,0.06955927677440116,0.5668724279835391
0.001,1.8666003856024829,0.5181795761330009,0.08940567348135783,0.5444330949948928
0.001,1.8125538420759326,0.5825562815151845,0.13971062643874185,0.5419222903885481
0.001,1.7968014593338197,0.5972983743642614,0.06382762203409696,0.4072948328267477
0.001,1.796273189490736,0.600850053955251,0.07991810862996751,0.4543610547667343
0.001,1.7919060806088531,0.6066766063173883,0.10236308575286472,0.48272357723577236
0.001,1.7816893936941696,0.6205321667545157,0.1033878626125875,0.4908722109533469
0.001,1.8044775952690202,0.5876875821597004,0.06946044969748612,0.4467005076142132
0.001,1.7928319503182408,0.6070159123654467,0.10480935515082188,0.44613821138211385
0.001,1.786075079376372,0.6093092999223424,0.10388971653421246,0.43103448275862066
0.001,1.7779658305754187,0.6195901114439324,0.1711226384675536,0.5347648261758691
0.001,1.8034381082609336,0.5850852312184589,0.07459857745868086,0.45510204081632655
0.001,1.815954605266993,0.5782603391192447,0.10613247871454444,0.4620829120323559
0.001,1.7768627455636292,0.6214228990387397,0.09899812528601162,0.46169354838709675
0.001,1.7290585151414597,0.6825829646098871,0.10483057363923319,0.47614107883817425
0.001,1.7333724233315038,0.6773339911970304,0.09440190405172313,0.41323971915747243
0.001,1.7792517995703707,0.6210464834769966,0.0688305326946511,0.45390070921985815
